Name,Barangay,Category,Subcategory
BOSKAIN FOOD AND BEVERAGE KIOSK ( MI PASTIL ),Pulo,Retail Stores,Food and Beverage
FIRMUS MARKETING CORPORATION,Diezmo,Construction and Real Estate,Realty
FH BUSINESS TAX CONSULTANCY SERVICES CO.,Banlic,Professional Services,Consultancy and Management Services
MMCOMIA DENTAL CLINIC,Niugan,Healthcare Services,Dental Clinics
AKLAN HARDWARE,Gulod,Retail Stores,Hardware and Construction Supplies
FIRST EAST RESOURCES INC.,Pulo,Wholesale and Distribution,Automotive
DEZEL PROPERTY LEASING,Marinig,Construction and Real Estate,Lessor (Commercial Space)
ALTHEA`S SARI-SARI STORE,Poblacion Dos,Retail Stores,Sari-Sari Store
GL MURANG GAMOT ET CETERA PHARMACY (VALUEMED GENERICS PHARMACY),Mamatid,Healthcare Services,Pharmacies
GHP CONSTRUCTION OPC,Niugan,Construction and Real Estate,Construction Services
ROLLIE RICE STORE,Niugan,Retail Stores,General Merchandise
KSG ARKIBUILD ARCHITECTURAL DESIGN SERVICES,Niugan,Professional Services,Design Services
WATERFALLS WATER REFILLING STATION,Mamatid,Retail Stores,Water Supply
A`GO LAUNDRY HOUSE,Banaybanay,Personal and Household Services,Laundry Shops
GUARINO OPTICAL CLINIC,Poblacion Dos,Healthcare Services,Optical Clinics
GENECIRAN DENTAL CLINIC,Mamatid,Healthcare Services,Dental Clinics
TABUCO WOOD WORKS,San Isidro,Manufacturing and Production,Woodcraft
HERBIE`S CATERING AND EVENTS OPC,Poblacion Tres,Food Services,Catering Service
FRANTASTIC LAUNDRY SHOP,Poblacion Tres,Personal and Household Services,Laundry Shops
PEÑALFOR-HERMOSO CONSUMER GOODS TRADING,Pulo,Retail Stores,General Merchandise
DOUBLE H LIQUEFIED PETROLEUM GASES WHOLESALING,Sala,Wholesale and Distribution,Fuel and Energy Supplies
ROSARIAN HLH MINI GROCERY,Sala,Retail Stores,Grocery and Supermarkets
HOUSE LAND DEVELOPMENT CORPORATION,Sala,Construction and Real Estate,Real Estate Developer
EATS-A-RAP FOOD HUB,Banlic,Food Services,Food Stand
MIKNIAH GASOLINE STATION,Niugan,Automotive Services,Fuel Services
AOI DRY GOODS STORE,Niugan,Retail Stores,Sari-Sari Store
INFORMATION EVOLUTION (PHILIPPINES) INC.,Banlic,IT and Digital Services,Customer Support & BPO Service
INSPECIT INC.,Niugan,Construction and Real Estate,Contractor
JNCC GROCERY PRODUCTS DISTRIBUTION OPC,Banaybanay,Wholesale and Distribution,Essential / Non Essential
RSJ SOAP AND DETERGENT TRADING,Pulo,Retail Stores,Household Supplies
MICHELLE RESIDENTIAL APARTMENT RENTAL,Baclaran,Construction and Real Estate,Apartment/Apartelle
JIAO DENTAL CLINIC,Sala,Healthcare Services,Dental Clinics
JESSLEY AIRCOOL SOLUTIONS CORPORATION,Pulo,Construction and Real Estate,Service Contractor
JDJ RICE STORE,Sala,Retail Stores,Food and Beverage
GRATEFUL BEGINNINGS MEDICAL CLINIC AND LYING IN,Mamatid,Healthcare Services,Maternity Clinics & Family Planning
TOKYO JAPAN AUCTION HOME AND OFFICE FURNITURE TRADING,Pulo,Retail Stores,Specialty Stores
KLA COURIER EXPRESS CO.,Sala,Transportation and Logistics,Common Courier
KASIPAG MICROFINANCING INC.,Banlic,Finance and Insurance,Financing Institutions
FOOD RETAILING STALL DSL STORECART,Marinig,Retail Stores,General Merchandise
LE RENOVATIO CORPORATION (HEN LIN),Banlic,Retail Stores,Food and Beverage
YENG`S SARI-SARI STORE,Marinig,Retail Stores,Sari-Sari Store
LAGUA`S FISH STAND,Poblacion Dos,Retail Stores,Food and Beverage
RISENN STREET SNEAKERZ SPORTS APPAREL TRADING,Sala,Retail Stores,Clothing and Apparel
NARVAJA LAUREL DENTAL CLINIC,Poblacion Uno,Healthcare Services,Dental Clinics
DENTLITE DENTAL CLINIC,Poblacion Dos,Healthcare Services,Dental Clinics
LAZANAS DENTAL CLINIC,Poblacion Tres,Healthcare Services,Dental Clinics
OZENO PROPERTY LEASING,Banlic,Construction and Real Estate,Lessor (Commercial Space)
YOUPAPASHOP ONLINE SHOP,Marinig,Retail Stores,Online Shops
JUNALYN LUAY ..YAKULT BEVERAGE TRADING,Marinig,Retail Stores,General Merchandise
OZENO HUMAN RESOURCE MANAGEMENT CONSULTANCY,Banlic,Professional Services,Consultancy and Management Services
JMR VARIETY STORE,Marinig,Retail Stores,General Merchandise
THECAPITAL OFSILOG AND SIZZLING RESTAURANT,Niugan,Food Services,Restaurant
"LICHI ELECTRIC, INCORPORATED",Diezmo,Wholesale and Distribution,Non Essential
I LEARN DRIVING SCHOOL,Pulo,Educational Services,Driving School
RENTOMATIC TRANSPORTATION SERVICES,Pulo,Transportation and Logistics,Car Rental
KIDDIE STUFFS BABY PRODUCTS STORE,San Isidro,Retail Stores,Online Shops
GEEKEEZ SPORTSWEAR SHOP,Banaybanay,Retail Stores,Clothing and Apparel
FJL ENGINEERING SERVICES,San Isidro,Professional Services,Engineering and Technical Services
MAPOLON DENTAL CLINIC,Pulo,Healthcare Services,Dental Clinics
DECAL WORLD PRINTING SERVICES,Banlic,Creative and Media Services,Printing Services
AVL`S DIGICRAFTS DIGITAL PRINTING SERVICES,Gulod,Creative and Media Services,Printing Services
HERB AND ANGEL MOTOR VEHICLE REPAIR SERVICES,Mamatid,Automotive Services,Auto Repair Services
ALFAMIKE SARI-SARI STORE,Niugan,Retail Stores,Sari-Sari Store
MEDPURE PHARMACEUTICAL COMPANY INC.,Banlic,Healthcare Services,Pharmacies
TRIXCY`S BEAUTY LOUNGE,San Isidro,Personal Care Services,Beauty Parlor
JIM&LUZ SARI-SARI STORE,San Isidro,Retail Stores,Sari-Sari Store
GIFTED HANDS 1 MATERNITY CLINIC,Mamatid,Healthcare Services,Maternity Clinics & Family Planning
MR. EGGSCELLENT FOOD DISTRIBUTION CORP.,Banlic,Wholesale and Distribution,Food Products
JAM`S CARWASH AND DETAILING SERVICES,Sala,Automotive Services,Car Wash and Detailing
NHAN`S BAKERY,Marinig,Retail Stores,Food and Beverage
MDELATORRE TECHNOLOGIES CORPORATION,Pulo,Manufacturing and Production,Non-Essential Manufacturer
TEODORA A. MARASIGAN DENTAL CLINIC,Poblacion Dos,Healthcare Services,Dental Clinics
MORA DENTAL CLINIC,San Isidro,Healthcare Services,Dental Clinics
MAISONDEMARGA HOTEL SUPPLIES TRADING,Banaybanay,Retail Stores,Specialty Stores
GDM GADGETS SHOP,San Isidro,Retail Stores,Electronics and Gadgets
GELKK TRUCKING SERVICES,Mamatid,Transportation and Logistics,Trucking / Transport Services
JERROLL FOOTWEAR TRADING,San Isidro,Retail Stores,Clothing and Apparel
EGUEL VULCANIZING SHOP,Banaybanay,Automotive Services,Vulcanizing Services
MIYO-SAN ONLINE SHOP,Marinig,Retail Stores,Online Shops
MILDEN GLASS INSTALLATION SERVICES,Mamatid,Manufacturing and Production,Glass & Aluminum Fabrication Services
GABRIELLA ONLINE SHOP,Mamatid,Retail Stores,Online Shops
EZEKIEL HOUSE RENTAL,Mamatid,Construction and Real Estate,Property Rental and Management
BONGBONG NEVADO CONSTRUCTION,Banlic,Construction and Real Estate,Construction Services
MHILES LOGISTICS SERVICES,Gulod,Transportation and Logistics,Logistics Services
LAURENCE SARI-SARI STORE,Niugan,Retail Stores,Sari-Sari Store
ASIANPEDICAB CONSUMER GOODS RETAILING,Banlic,Retail Stores,Food and Beverage
TWINHOUSE PHARMACY,Pulo,Healthcare Services,Pharmacies
AJBN SCRAP TRADING,Pulo,Retail Stores,Specialty Stores
NEW NEMAR DEVELOPMENT CORPORATION,Banlic,Retail Stores,Vehicle and Parts Supplies
BLISS MOTORCYCLE PARTS AND ACCESSORIES SHOP,Banaybanay,Retail Stores,Vehicle and Parts Supplies
ST. MARTIN DE PORRES CONST AND DEMOLITION SERVICES,Sala,Construction and Real Estate,Construction Services
OPERARIO`S CANTEEN,Poblacion Uno,Food Services,Canteen
EL-B SARI-SARI STORE,Niugan,Retail Stores,Sari-Sari Store
V. SAN JUAN DENTAL CLINIC,Poblacion Dos,Healthcare Services,Dental Clinics
IMEE TOGA DENTAL CLINIC,Banlic,Healthcare Services,Dental Clinics
JUN PARESAN,Banlic,Retail Stores,Food and Beverage
D`ONE TRANSPORT SERVICES,Pulo,Transportation and Logistics,Transport Services
JAKKK ICE CREAM HOUSE,Banaybanay,Retail Stores,Food and Beverage
CLARITO PUNONGBAYAN DENTAL CLINIC,Sala,Healthcare Services,Dental Clinics
ST. PEREGRINE DENTAL CLINIC,Pulo,Healthcare Services,Dental Clinics
JKEP DELIVERY SERVICES,Poblacion Uno,Transportation and Logistics,Delivery Services
HERB & ANGEL MOTOR VEHICLE PARTS AND ACCESSORIES SHOP,Banaybanay,Retail Stores,Vehicle and Parts Supplies
PHIL K-PLEX PARTS AND SUPPLY CORP.,Sala,Retail Stores,Vehicle and Parts Supplies
PREMIER SCREWKING BOLTS & NUTS CORP.,Sala,Retail Stores,Hardware and Construction Supplies
RODENAS-POTENTE DENTAL CLINIC,Banaybanay,Healthcare Services,Dental Clinics
AMALIA L. PADILLA DENTAL CLINIC,Mamatid,Healthcare Services,Dental Clinics
SMILE FOCUS DENTAL CENTER,Sala,Healthcare Services,Dental Clinics
SMILEVILLE DENTAL CLINIC,Banlic,Healthcare Services,Dental Clinics
JOLLY SMILE DENTAL CLINIC,Pulo,Healthcare Services,Dental Clinics
HAZEL FASHION SHOP,Poblacion Uno,Personal and Household Services,Tailor and Dress Shop
DJR LAND TRANSPORT SERVICES,San Isidro,Transportation and Logistics,Transport Services
SIMPATIKO SPACE RENTAL,Mamatid,Construction and Real Estate,Lessor (Commercial Space)
ZMK MEAT SHOP,Mamatid,Retail Stores,Food and Beverage
STRANDED ARTS AND CRAFTS TRADING,Pulo,Retail Stores,Online Shops
GIDGID REFRESHMENT (ZAGU),Banaybanay,Food Services,Refreshment Parlor
ZYTECH INDUSTRIAL ENGINEERING SERVICE,Marinig,Professional Services,Engineering and Technical Services
RND PRIME DEVELOPMENT CORPORATION,Sala,Construction and Real Estate,General Construction
RITE WAY AIRCONDITIONING & REFRIGERATION CORPORATION,Banlic,Retail Stores,Household Supplies
JNBRICZ GROCERY PRODUCTS TRADING,Poblacion Tres,Retail Stores,Sari-Sari Store
MIKO`S RTW STORE,Banlic,Retail Stores,Clothing and Apparel
CEL/ ANDY`S FRUIT STAND,San Isidro,Retail Stores,Food and Beverage
DANIELLA GRACE DRY GOODS STORE,Poblacion Dos,Retail Stores,General Merchandise
PAR GEOTECHNICAL TESTING CENTER,San Isidro,Professional Services,Engineering and Technical Services
TREVI BAKESHOP,Sala,Retail Stores,Food and Beverage
BUBBLE N KLEAN LAUNDRY SHOP,Mamatid,Personal and Household Services,Laundry Shops
`CVR` CAR AIRCON REPAIR SERVICES,Banlic,Automotive Services,Auto Repair Services
JO-LEN & 3J POULTRY SUPPLY,Gulod,Retail Stores,Specialty Stores
AQUACLEAR WATER DISTRIBUTION SERVICES,Banlic,Retail Stores,Water Supply
M.J.JOSHUA`S CONSUMER GOODS STORE,Marinig,Retail Stores,General Merchandise
ALR KITCHEN EQUIPMENT REPAIR AND MAINTENANCE SERVICES,Mamatid,Personal and Household Services,Kitchen Equipment Repair Services
CLOUDY`S FOOD PRODUCTS,Butong,Manufacturing and Production,Food Products Manufacturer
RIDE-N-RENT CAR RENTAL SERVICES,Mamatid,Transportation and Logistics,Car Rental
TUON TUTORIAL SERVICES,Banlic,Educational Services,Tutorial Services
RODAS CONSTRUCTION SERVICES,Mamatid,Construction and Real Estate,Construction Services
STANFORD ASIA COLLEGE INC.,Poblacion Tres,Educational Services,Private School
TP-PRIME STEEL WORKS,Marinig,Automotive Services,Body and Welding Shops
JD CONSTRUCTION MATERIALS TRADING,Banlic,Retail Stores,Hardware and Construction Supplies
JES RICE RETAILING,Pulo,Retail Stores,Food and Beverage
VEYPTACY VAPE SHOP,Banaybanay,Retail Stores,Specialty Stores
SCRT LIBRARY CAFE,Banaybanay,Food Services,Restaurant
838 FASHION BOUTIQUE,Banaybanay,Retail Stores,Clothing and Apparel
3A SEWING SHOP,Mamatid,Personal and Household Services,Tailor and Dress Shop
NENE SARI-SARI STORE,Sala,Retail Stores,Sari-Sari Store
TRUEJOYS FOOD SERVICES,Banaybanay,Food Services,Restaurant
ZERCA`S SIMPLSYA GRILL AND RESTAURANT,Sala,Food Services,Restaurant
`HENRY` WELDING SHOP,Sala,Automotive Services,Body and Welding Shops
SHANTAHL DIRECT SALES INC.,Banlic,Retail Stores,Health and Personal Care
C.C.S TRUCKING SERVICES,Pulo,Transportation and Logistics,Trucking / Transport Services
SYNERGYONE MANPOWER SERVICES INC.,Banlic,Professional Services,Contracting and Manpower Services
RMS KLAY SEWING SERVICES,San Isidro,Professional Services,Business Agent
HKING88 CCTV TRADING,Pulo,Retail Stores,Electronics and Gadgets
CLYDANN ONLINE SHOP,Marinig,Retail Stores,Online Shops
MONKEYKO CAR CARE CENTER,Pulo,Automotive Services,Auto Repair Services
GOLDMOND PAINTING SERVICES,Mamatid,Automotive Services,Auto Repair Services
KOL`S ENGINEERING SERVICES,Banaybanay,Professional Services,Engineering and Technical Services
WLAN TRADING AND CONSTRUCTION SUPPLY,Banlic,Wholesale and Distribution,Industrial and Construction Supplies
TITA SION KUTSARA AT TINIDOR FOOD CONCESSION SERVICES,Diezmo,Food Services,Food Concessionaire
MELER AUTO SUPPLY,Banlic,Retail Stores,Vehicle and Parts Supplies
`QUICK MOVERS` LOGISTICS SERVICES,Bigaa,Transportation and Logistics,Logistics Services
VLJJ COMMERCIAL SPACE RENTAL,Banlic,Construction and Real Estate,Lessor (Commercial Space)
TRUCK-STAR LOGISTICS CORP.,Banaybanay,Transportation and Logistics,Logistics Services
"TESTECH, INC.",Sala,Construction and Real Estate,Service Contractor
COFFEE GROUND COFFEE SHOP,Sala,Food Services,Coffee Shop
JRT CONSUMER GOODS TRADING,Casile,Retail Stores,School and Office Supplies
AYA DRY GOODS STORE,Banlic,Retail Stores,General Merchandise
TREMTECH ENGINEERING SERVICES,Banlic,Professional Services,Engineering and Technical Services
GOHANN & GOTENN SARI-SARI STORE,Niugan,Retail Stores,Sari-Sari Store
GOHANN SARI-SARI STORE,Banaybanay,Retail Stores,Sari-Sari Store
AIDELINE B. TOLEDO DENTAL CLINIC,Poblacion Tres,Healthcare Services,Dental Clinics
TONGCO DENTAL CLINIC,Banlic,Healthcare Services,Dental Clinics
DENTISTICO DENTAL CLINIC,Gulod,Healthcare Services,Dental Clinics
THE SMOKING JOINT VAPESHOP RETAIL OPC,Pulo,Retail Stores,Specialty Stores
THE SMOKING JOINT VAPESHOP RETAIL OPC,Banlic,Retail Stores,Specialty Stores
JVJ SMILE AND CARE TOOTH CLINIC DENTAL CLINIC,Mamatid,Healthcare Services,Dental Clinics
JVJ SMILE AND CARE TOOTH CLINIC DENTAL CLINIC,Mamatid,Healthcare Services,Dental Clinics
PRING TRUCKING SERVICES,Sala,Transportation and Logistics,Trucking / Transport Services
KASAKREMA ICE CREAM STATION,Sala,Retail Stores,Food and Beverage
PERSCENTS OFFICIAL PERFUME TRADING,San Isidro,Retail Stores,Health and Personal Care
VSO HOLDINGS INC.,Banaybanay,Finance and Insurance,Holding Company
DOCTOR PANDA DENTAL CLINIC,Sala,Healthcare Services,Dental Clinics
ST. VINCENTIUS FERRERI DENTAL CLINIC,San Isidro,Healthcare Services,Dental Clinics
KENNETH B. VELASCO PHARMACY,Niugan,Healthcare Services,Pharmacies
JOVIE`S SARI-SARI STORE,Pulo,Retail Stores,Sari-Sari Store
MEBZ RTW SHOP,Poblacion Uno,Retail Stores,Clothing and Apparel
ST3Z PROPERTY LEASING,Banlic,Construction and Real Estate,Lot Rental
FICATECH PRECISION METAL FABRICATION,Mamatid,Manufacturing and Production,Contractor and Service Manufacturing
MMDMM BILLS PAYMENT,Pulo,Finance and Insurance,Money Remittance / Bills Payment
MACJIM FURNITURE DESIGNS INC.,Pulo,Retail Stores,Furniture and Home Decor
MARINIE TRADING,Pulo,Retail Stores,General Merchandise
CHOCO AVENUE FOOD PRODUCTS,Niugan,Retail Stores,General Merchandise
GOOD GRAINS RICE SUPPLY,Mamatid,Retail Stores,General Merchandise
RRC FOOD SERVICE,Baclaran,Food Services,Burger Stand
G3M ENGINEERING DESIGN AND TRADING,Banlic,Retail Stores,General Merchandise
MODY ENTERPRISES,Marinig,Manufacturing and Production,Fabrication Services
ALPHAMERC TRADING CORPORATION (CHICK N` JUICY),San Isidro,Retail Stores,Food and Beverage
NRC TRANS - MOVERS INC.,Pulo,Transportation and Logistics,Transport Services
HSN BEARING SUPPLY,Banlic,Retail Stores,General Merchandise
ST. IGNATIUS TECHNICAL INSTITUTE OF BUSINESS AND ARTS INC.,Banaybanay,Educational Services,Private School
JCAJ COOLING SOLUTIONS,Pulo,Personal and Household Services,Refrigerator & Air-Con Repair Services
MEDIWELL PHARMACY,Banaybanay,Healthcare Services,Pharmacies
HERWIN AND JULIE KK METAL SCRAP TRADING,Sala,Retail Stores,Specialty Stores
GUISOKIANS TRAVEL AND TOURS,Mamatid,Tourism and Hospitality,Travel Agency
JUMP AHEAD SYSTEMS AND TRADING INCORPORATED,Marinig,Construction and Real Estate,General Engineering Contractor
ARTAC`S CONSTRUCTION SERVICES,Pulo,Construction and Real Estate,Service Contractor
KUYA ADRIAN STORE,Pulo,Retail Stores,Sari-Sari Store
ANDOK`S LITSON CORPORATION,Marinig,Retail Stores,Food and Beverage
REGN PURIFIED DRINKING WATER,Mamatid,Retail Stores,Water Supply
RPJH MOTORCYCLE PARTS AND ACCESSORIES SHOP,Pulo,Retail Stores,Vehicle and Parts Supplies
L.L. PASTOR SCRAP TRADING,Gulod,Retail Stores,Specialty Stores
URBAN DENIM MAKERS INC. (EXHIBIT),Banlic,Retail Stores,Clothing and Apparel
4 AXES CONSTRUCTION SUPPLIES,Pulo,Retail Stores,Hardware and Construction Supplies
RREB ENTERPRISES,San Isidro,Retail Stores,General Merchandise
FV AMIGOS TRADING,Poblacion Tres,Retail Stores,General Merchandise
"UNILEVER PHILIPPINES, INC.",Pulo,Transportation and Logistics,Warehouse and Storage Services
